,precision,recall,f1-score,support
neutral,0.35135135135135137,0.8125,0.49056603773584906,16.0
calm,0.5625,0.84375,0.675,32.0
happy,0.26666666666666666,0.125,0.1702127659574468,32.0
sad,0.21052631578947367,0.125,0.1568627450980392,32.0
angry,0.40384615384615385,0.65625,0.5,32.0
fearful,0.5555555555555556,0.15625,0.24390243902439024,32.0
disgust,0.5581395348837209,0.75,0.64,32.0
surprised,0.8235294117647058,0.4375,0.5714285714285714,32.0
accuracy,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
macro avg,0.4665143737322035,0.48828125,0.43099656990553714,240.0
weighted avg,0.47419190855759363,0.4666666666666667,0.427025272050183,240.0
