,precision,recall,f1-score,support
neutral,0.5263157894736842,0.625,0.5714285714285714,16.0
calm,0.6666666666666666,0.8125,0.7323943661971831,32.0
happy,0.6842105263157895,0.40625,0.5098039215686274,32.0
sad,0.375,0.5625,0.45,32.0
angry,0.88,0.6875,0.7719298245614035,32.0
fearful,0.5555555555555556,0.46875,0.5084745762711864,32.0
disgust,0.717948717948718,0.875,0.7887323943661971,32.0
surprised,0.6666666666666666,0.5,0.5714285714285714,32.0
accuracy,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667
macro avg,0.6340454903283851,0.6171875,0.6130240282277175,240.0
weighted avg,0.6412274703853651,0.6166666666666667,0.6157970586809939,240.0
