,precision,recall,f1-score,support
neutral,0.2727272727272727,0.75,0.4,16.0
calm,0.3230769230769231,0.65625,0.4329896907216495,32.0
happy,0.25,0.03125,0.05555555555555555,32.0
sad,0.2,0.0625,0.09523809523809523,32.0
angry,0.47619047619047616,0.3125,0.37735849056603776,32.0
fearful,0.43478260869565216,0.3125,0.36363636363636365,32.0
disgust,0.5609756097560976,0.71875,0.6301369863013698,32.0
surprised,0.46875,0.46875,0.46875,32.0
accuracy,0.39166666666666666,0.39166666666666666,0.39166666666666666,0.39166666666666666
macro avg,0.3733128613058027,0.4140625,0.35295814775238393,240.0
weighted avg,0.38001856721103805,0.39166666666666666,0.3498220242692095,240.0
