,precision,recall,f1-score,support
neutral,0.0,0.0,0.0,16.0
calm,0.15789473684210525,0.5625,0.2465753424657534,32.0
happy,0.0,0.0,0.0,32.0
sad,0.4,0.0625,0.10810810810810811,32.0
angry,0.0,0.0,0.0,32.0
fearful,0.3333333333333333,0.15625,0.2127659574468085,32.0
disgust,0.1346153846153846,0.4375,0.20588235294117646,32.0
surprised,0.0,0.0,0.0,32.0
accuracy,0.1625,0.1625,0.1625,0.1625
macro avg,0.1282304318488529,0.15234375,0.09666647012023082,240.0
weighted avg,0.13677912730544312,0.1625,0.10311090146157954,240.0
